pop_size,proposers,top_k,seed,best_score,total_evaluations,reached_target,elapsed_sec
5,1,1,42,70.47,11,False,0.03
5,1,3,42,70.46,11,False,0.02
5,1,5,42,70.47,11,False,0.02
5,3,1,42,71.86,30,False,5.37
5,3,3,42,71.78,30,False,5.35
5,3,5,42,71.78,30,False,5.27
5,5,1,42,71.88,51,False,0.38
5,5,3,42,71.77,51,False,0.4
5,5,5,42,71.8,50,False,0.34
5,10,1,42,71.86,95,False,5.69
5,10,3,42,71.78,97,False,0.47
5,10,5,42,71.81,101,False,0.36
10,1,1,42,70.47,11,False,0.03
10,1,3,42,70.46,11,False,0.02
10,1,5,42,70.46,10,False,0.02
10,3,1,42,71.79,31,False,5.37
10,3,3,42,71.74,31,False,5.36
10,3,5,42,71.74,31,False,0.07
10,5,1,42,71.9,51,False,0.35
10,5,3,42,71.85,51,False,0.4
10,5,5,42,71.8,51,False,0.34
10,10,1,42,71.91,94,False,5.68
10,10,3,42,71.81,101,False,20.32
10,10,5,42,71.79,96,False,0.52
20,1,1,42,70.47,11,False,0.03
20,1,3,42,70.47,11,False,0.02
20,1,5,42,70.46,11,False,0.02
20,3,1,42,71.75,31,False,5.33
20,3,3,42,71.87,30,False,5.33
20,3,5,42,71.76,31,False,0.07
20,5,1,42,71.77,51,False,0.36
20,5,3,42,71.78,51,False,0.4
20,5,5,42,71.84,50,False,0.34
20,10,1,42,71.88,101,False,5.66
20,10,3,42,71.9,99,False,0.43
20,10,5,42,71.85,96,False,0.52
